date_of_incident,day_of_week,incident_hour,sex,relationship,lat,lon,Average high,Average low,minutes_of_dark
2021-05-04,2,0,0,0,41.12597925,-81.53216702,73,52,598
2021-07-12,1,23,0,1,40.76842775,-80.77718656,85,65,553
2021-08-31,2,19,0,1,41.63505906,-81.70019592,84,63,655
2021-08-31,2,12,1,0,41.63505906,-81.70019592,84,63,655
2021-10-09,6,9,0,0,39.75460934,-84.2906502,65,44,755
2021-10-09,6,9,0,0,39.75460934,-84.2906502,65,44,755
2021-10-09,6,9,0,0,39.75460934,-84.2906502,65,44,755
2021-10-09,6,9,0,0,39.75460934,-84.2906502,65,44,755
2021-02-02,2,16,0,1,41.31717409,-80.76116027,40,24,826
2021-06-29,2,15,0,0,41.63505906,-81.70019592,82,61,541
2021-10-12,2,14,1,1,39.75460934,-84.2906502,65,44,763
2021-06-25,5,11,1,0,40.81388809,-81.3656367,82,61,540
2021-06-25,5,11,0,0,40.81388809,-81.3656367,82,61,540
2021-08-18,3,18,1,0,39.75460934,-84.2906502,84,63,623
2021-08-18,3,18,1,0,39.75460934,-84.2906502,84,63,623
2021-11-21,7,11,1,1,40.77468434,-82.53648439,52,35,853
2021-08-29,7,23,0,0,41.63505906,-81.70019592,84,63,650
2021-11-06,6,2,1,1,40.27839378,-83.00488535,52,35,823
2021-11-01,1,14,1,0,41.63505906,-81.70019592,52,35,812
2021-11-01,1,14,1,0,41.63505906,-81.70019592,52,35,812
2021-04-01,4,21,0,1,40.27839378,-83.00488535,63,41,679
2021-11-06,6,10,0,0,40.38501952,-80.76097229,52,35,823
2021-07-15,4,18,0,0,40.81388809,-81.3656367,85,65,557
2021-09-14,2,13,1,0,41.63505906,-81.70019592,77,56,690
2021-09-14,2,13,1,0,41.63505906,-81.70019592,77,56,690
2021-10-28,4,20,1,0,40.09160792,-82.48310092,65,44,803
2021-11-11,4,13,1,0,41.00193838,-83.66653541,52,35,834
2021-05-25,2,18,1,1,40.77468434,-82.53648439,73,52,559
2021-12-05,7,17,1,0,41.31717409,-80.76116027,41,26,872
2021-02-13,6,19,1,1,41.01464011,-80.77629506,40,24,801
2021-11-19,5,12,1,0,39.75460934,-84.2906502,52,35,849
2021-09-17,5,8,0,1,41.63505906,-81.70019592,77,56,698
2021-09-17,5,8,0,1,41.63505906,-81.70019592,77,56,698
2021-04-14,3,20,0,1,40.27839378,-83.00488535,63,41,646
2021-10-28,4,20,0,0,40.09160792,-82.48310092,65,44,803
2021-12-15,3,16,1,1,41.01464011,-80.77629506,41,26,879
2021-04-19,1,1,1,1,41.63505906,-81.70019592,63,41,633
2021-10-27,3,16,1,0,41.63505906,-81.70019592,65,44,800
2021-09-06,1,20,1,0,41.63505906,-81.70019592,77,56,670
2021-11-23,2,11,0,1,41.63505906,-81.70019592,52,35,856
2021-12-23,4,17,1,0,40.38501952,-80.76097229,41,26,880
2021-07-18,7,21,1,1,40.27839378,-83.00488535,85,65,561
2021-06-23,3,21,1,0,40.77152071,-84.10577943,82,61,539
2021-12-20,1,2,1,1,40.27839378,-83.00488535,41,26,880
2021-11-30,2,20,1,0,41.63505906,-81.70019592,52,35,866
2021-03-23,2,6,0,1,39.69148045,-83.88988675,52,32,703
2021-03-23,2,6,0,1,39.69148045,-83.88988675,52,32,703
2021-05-06,4,22,1,1,39.75460934,-84.2906502,73,52,594
2021-06-28,1,3,1,1,40.27839378,-83.00488535,82,61,541
2021-08-22,7,21,1,0,41.63505906,-81.70019592,84,63,632
2021-08-22,7,21,1,0,41.63505906,-81.70019592,84,63,632
2021-08-22,7,21,1,0,41.63505906,-81.70019592,84,63,632
2021-12-10,5,21,1,0,40.27839378,-83.00488535,41,26,876
2021-11-01,1,6,1,0,40.27839378,-83.00488535,52,35,812
2021-11-01,1,6,1,0,40.27839378,-83.00488535,52,35,812
2021-04-15,4,5,1,1,39.75460934,-84.2906502,63,41,643
2021-11-07,7,18,1,0,41.56028758,-84.58813789,52,35,826
2021-10-10,7,8,0,0,41.45251152,-82.15149047,65,44,758
2021-09-26,7,17,1,0,39.75460934,-84.2906502,77,56,722
2021-09-26,7,17,1,0,39.75460934,-84.2906502,77,56,722
2021-11-30,2,11,0,0,41.63505906,-81.70019592,52,35,866
2021-03-21,7,23,0,0,41.63505906,-81.70019592,52,32,708
2021-11-24,3,23,0,0,41.63505906,-81.70019592,52,35,858
2021-06-21,1,23,0,0,39.19553418,-84.54276767,82,61,539
2021-07-29,4,22,1,0,41.01464011,-80.77629506,85,65,580
2021-12-21,2,14,1,0,41.01464011,-80.77629506,41,26,880
2021-04-04,7,0,1,0,39.96542185,-81.94438266,63,41,671
2021-09-19,7,22,0,1,41.63505906,-81.70019592,77,56,703
2021-02-23,2,12,1,1,40.77468434,-82.53648439,40,24,776
2021-02-23,2,12,1,1,40.77468434,-82.53648439,40,24,776
2021-11-10,3,23,1,0,39.75460934,-84.2906502,52,35,832
2021-07-04,7,15,1,0,40.33152518,-84.20474278,85,65,545
2021-07-04,7,15,0,0,40.33152518,-84.20474278,85,65,545
2021-06-23,3,16,1,1,39.75460934,-84.2906502,82,61,539
2021-11-11,4,1,1,1,40.27839378,-83.00488535,52,35,834
2021-02-20,6,11,1,1,40.77468434,-82.53648439,40,24,784
2021-07-23,5,4,1,1,39.75460934,-84.2906502,85,65,569
2021-01-14,4,15,0,1,40.76842775,-80.77718656,36,20,862
2021-09-06,1,16,1,0,41.63505906,-81.70019592,77,56,670
2021-12-15,3,18,1,0,41.01464011,-80.77629506,41,26,879
2021-11-08,1,17,1,0,41.63505906,-81.70019592,52,35,828
2021-06-01,2,12,1,0,41.63505906,-81.70019592,82,61,550
2021-07-07,3,1,1,1,39.75460934,-84.2906502,85,65,547
2021-12-10,5,18,0,0,40.81388809,-81.3656367,41,26,876
2021-11-14,7,1,1,0,41.63505906,-81.70019592,52,35,840
2021-07-17,6,9,1,0,41.01464011,-80.77629506,85,65,559
2021-12-11,6,16,1,0,41.63505906,-81.70019592,41,26,877
2021-12-11,6,16,1,0,41.63505906,-81.70019592,41,26,877
2021-12-11,6,23,1,0,41.63505906,-81.70019592,41,26,877
2021-07-25,7,18,0,1,39.96954615,-83.00929814,85,65,572
2021-07-25,7,18,0,1,39.96954615,-83.00929814,85,65,572
2021-07-25,7,11,0,0,40.82884916,-81.88801899,85,65,572
2021-05-05,3,9,1,0,39.96542185,-81.94438266,73,52,596
2021-08-30,1,10,1,1,41.01464011,-80.77629506,84,63,652
2021-08-30,1,10,1,1,41.01464011,-80.77629506,84,63,652
2021-08-30,1,10,0,1,41.01464011,-80.77629506,84,63,652
2021-08-30,1,10,0,1,41.01464011,-80.77629506,84,63,652
2021-08-30,1,18,1,1,41.01464011,-80.77629506,84,63,652
2021-08-30,1,20,0,0,41.16768284,-81.19740374,84,63,652
2021-08-30,1,20,0,0,41.16768284,-81.19740374,84,63,652
2021-09-22,3,7,1,0,41.12597925,-81.53216702,77,56,711
2021-09-22,3,14,0,0,41.63505906,-81.70019592,77,56,711
2021-12-26,7,1,1,1,41.63505906,-81.70019592,41,26,879
2021-07-14,3,13,1,1,40.27839378,-83.00488535,85,65,555
2021-04-11,7,1,1,1,40.27839378,-83.00488535,63,41,653
2021-10-29,5,22,1,0,41.16768284,-81.19740374,65,44,805
2021-10-29,5,6,0,1,41.47057264,-82.57631509,65,44,805
2021-03-26,5,21,0,1,40.76842775,-80.77718656,52,32,695
2021-03-26,5,21,0,1,40.76842775,-80.77718656,52,32,695
2021-03-26,5,18,0,0,40.82884916,-81.88801899,52,32,695
2021-02-16,2,7,1,1,39.69148045,-83.88988675,40,24,794
2021-01-31,7,0,1,1,41.63505906,-81.70019592,36,20,831
2021-07-11,7,16,1,0,40.81388809,-81.3656367,85,65,552
2021-07-11,7,15,1,1,40.27839378,-83.00488535,85,65,552
2021-09-01,3,16,0,1,41.45251152,-82.15149047,77,56,657
2021-08-08,7,0,1,1,40.27839378,-83.00488535,84,63,600
2021-09-05,7,0,0,1,41.63505906,-81.70019592,77,56,667
2021-09-05,7,21,1,0,41.35741643,-83.14391569,77,56,667
2021-05-09,7,18,1,0,41.63505906,-81.70019592,73,52,588
2021-08-06,5,22,0,1,41.6841907,-83.46827478,84,63,596
2021-01-26,2,21,1,1,41.12597925,-81.53216702,36,20,841
2021-12-18,6,23,1,0,41.01464011,-80.77629506,41,26,880
2021-11-22,1,20,1,0,41.00193838,-83.66653541,52,35,855
2021-12-27,1,15,1,0,41.01464011,-80.77629506,41,26,879
2021-07-16,5,15,1,0,41.00193838,-83.66653541,85,65,558
2021-07-16,5,16,0,1,41.01464011,-80.77629506,85,65,558
2021-02-27,6,8,1,1,41.6841907,-83.46827478,40,24,766
2021-12-02,4,11,0,0,41.63505906,-81.70019592,41,26,869
2021-12-02,4,11,0,0,41.63505906,-81.70019592,41,26,869
2021-12-30,4,14,1,1,41.63505906,-81.70019592,41,26,878
2021-04-25,7,3,1,0,41.45251152,-82.15149047,63,41,619
2021-05-17,1,9,1,0,40.38847334,-83.76585017,73,52,572
2021-02-18,4,0,1,0,40.81388809,-81.3656367,40,24,789
2021-10-31,7,1,1,1,41.01464011,-80.77629506,65,44,810
2021-07-12,1,13,0,0,40.05347551,-84.22887177,85,65,553
2021-12-25,6,13,0,0,39.75460934,-84.2906502,41,26,880
2021-12-25,6,13,0,0,39.75460934,-84.2906502,41,26,880
2021-12-25,6,8,0,0,41.63505906,-81.70019592,41,26,880
2021-08-23,1,14,1,0,40.81388809,-81.3656367,84,63,635
2021-12-25,6,0,1,1,39.96954615,-83.00929814,41,26,880
2021-04-13,2,12,1,1,41.63505906,-81.70019592,63,41,648
2021-12-31,5,21,0,1,41.45251152,-82.15149047,41,26,877
2021-12-31,5,2,1,1,41.63505906,-81.70019592,41,26,877
2021-05-11,2,12,1,0,40.27839378,-83.00488535,73,52,584
2021-05-11,2,15,1,0,41.01464011,-80.77629506,73,52,584
2021-01-25,1,21,1,0,41.63505906,-81.70019592,36,20,843
2021-01-25,1,21,1,0,41.63505906,-81.70019592,36,20,843
2021-06-07,1,0,1,0,39.42758661,-84.16675437,82,61,545
2021-06-09,3,8,0,1,41.63505906,-81.70019592,82,61,543
2021-06-07,1,17,1,0,41.01464011,-80.77629506,82,61,545
2021-06-29,2,16,1,0,41.63505906,-81.70019592,82,61,541
2021-01-25,1,0,0,1,40.81388809,-81.3656367,36,20,843
2021-06-25,5,9,1,0,41.01464011,-80.77629506,82,61,540
2021-06-25,5,9,1,0,41.01464011,-80.77629506,82,61,540
2021-08-16,1,12,1,0,41.63505906,-81.70019592,84,63,618
2021-08-16,1,1,1,1,41.63505906,-81.70019592,84,63,618
2021-04-22,4,17,1,1,41.63505906,-81.70019592,63,41,626
2021-04-01,4,3,1,1,40.81388809,-81.3656367,63,41,679
2021-02-22,1,21,1,1,39.19553418,-84.54276767,40,24,779
2021-04-24,6,11,1,0,39.96542185,-81.94438266,63,41,621
2021-04-24,6,11,1,0,39.96542185,-81.94438266,63,41,621
2021-08-13,5,1,0,0,40.81388809,-81.3656367,84,63,611
2021-08-19,4,14,1,0,41.63505906,-81.70019592,84,63,625
2021-05-21,5,16,0,1,40.09160792,-82.48310092,73,52,565
