date_of_incident,incident_month,day_of_week,incident_hour,sex_code,relationship_name,offense_category_name,crime_against,county_name,lat,lon,region,average_high,average_low,avg_temp_class,days_with_precipitation_,av._precipitation_in_inch_,minutes_of_dark,day_class,is_male,is_a_couple,good_weather
2021-06-29,Jun,Tuesday,18.0,M,ex-couple,Theft,Property,Cuyahoga,41.63505906,-81.70019592,North,82,61,Warm,10,3.98,541,Sunny,1,0,1
2021-10-12,Oct,Tuesday,12.0,M,couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,65,44,Cold,9,1.65,763,Dark,1,1,0
2021-09-20,Sep,Monday,12.0,M,ex-couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,77,56,Cold,8,2.64,706,Sunny,1,0,1
2021-01-01,Jan,Friday,0.0,M,ex-couple,Theft,Property,Hocking,39.49702384,-82.47925356,South,36,20,Cold,13,9.65,876,Dark,1,0,0
2021-01-01,Jan,Friday,0.0,M,ex-couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,36,20,Cold,13,9.65,876,Dark,1,0,0
2021-03-06,Mar,Saturday,9.0,F,couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,52,32,Cold,13,6.1,748,Dark,0,1,0
2021-03-06,Mar,Saturday,9.0,F,couple,Destruction of Property,Property,Cuyahoga,41.63505906,-81.70019592,North,52,32,Cold,13,6.1,748,Dark,0,1,0
2021-12-01,Dec,Wednesday,12.0,M,ex-couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,41,26,Cold,13,7.4,868,Dark,1,0,0
2021-06-06,Jun,Sunday,12.0,M,couple,Assault,Person,Delaware,40.27839378,-83.00488535,Central,82,61,Warm,10,3.98,545,Sunny,1,1,1
2021-11-06,Nov,Saturday,12.0,F,ex-couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,52,35,Cold,11,3.82,823,Dark,0,0,0
2021-12-21,Dec,Tuesday,14.0,F,couple,Assault,Person,Cuyahoga,41.63505906,-81.70019592,North,41,26,Cold,13,7.4,880,Dark,0,1,0
2021-08-01,Aug,Sunday,14.0,M,couple,Assault,Person,Delaware,40.27839378,-83.00488535,Central,84,63,Warm,10,3.11,585,Sunny,1,1,1
2021-03-24,Mar,Wednesday,22.0,F,couple,Assault,Person,Trumbull,41.31717409,-80.76116027,North,52,32,Cold,13,6.1,700,Sunny,0,1,1
2021-02-21,Feb,Sunday,15.0,M,ex-couple,Assault,Person,Delaware,40.27839378,-83.00488535,Central,40,24,Cold,11,6.97,781,Dark,1,0,0
2021-08-11,Aug,Wednesday,2.0,M,ex-couple,Burglary,Property,Cuyahoga,41.63505906,-81.70019592,North,84,63,Warm,10,3.11,607,Sunny,1,0,1
2021-06-23,Jun,Wednesday,12.0,F,ex-couple,Fraud,Property,Jefferson,40.38501952,-80.76097229,South,82,61,Warm,10,3.98,539,Sunny,0,0,1
